Latitude,Longitude,altitude,Distance,Pitch angle,Velocity,Time(secs),Acceleration
37.28553451,125.9768527,390,806,-166.7142857,8.663722699,605.5,14.3083777
31.03283,-120.517269,10417.33,542.4081,-9,886,522,1697.318008
38.996693,127.4942481,387,881,-343.8214286,7.812534952,947.5,8.245419474
32.001859,-120.193566,10412.03,422.1578,86,883,420,2102.380952
37.74546115,128.3523987,213,1142,-380.0714286,7.638315238,1017.5,7.506943723
442760087,-940902736,2,130,-232,165,3455,47.7568741
53.39554374,-113.475598,738.66,388,56.7,37.58,1458,25.77503429
39.67943666,128.5088533,645,714,-582.0357143,6.667662544,1407.5,4.737238042
442760086,-940902741,2,139,-231,162,1265,128.0632411
38.63989483,125.8155391,133,800,-56.92857143,9.191359549,393.5,23.35796582
25.243608,-120.51673,3620.82,1183.372,-78,891,1148,776.1324042
30.320064,-120.516833,10419.82,621.3881,-13,893,588,1518.707483
31.785621,-120.470459,10414.15,457.7339,44,892,450,1982.222222
34.644908,-117.925065,2948.58,42.3573,82,894,66,13545.45455
53.55347184,-113.6539398,761.83,234,355.1,94.23,849,110.9893993
442760086,-940902738,2,135,-231,130,1670,77.84431138
442760086,-940902738,2,180,-231,106,1650,64.24242424
53.51050949,-113.7122096,748.21,274,269.8,78.66,162,485.5555556
39.89038548,127.0300422,130,1043,-327.25,7.89217825,915.5,8.620620699
53.50806612,-113.6553808,746.02,298,23.7,61.29,2523,24.29250892
442760086,-940902736,1,146,-234,156,4170,37.41007194
442760088,-940902746,3,162,-228,117,235,497.8723404
26.844367,-120.516827,4130.24,1006.095,-7,885,920,961.9565217
442760088,-940902737,5,105,-233,184,2625,70.0952381
30.645583,-120.516889,10420.76,585.3226,-59,883,558,1582.437276
442760086,-940902739,6,113,-232,184,1600,115
31.886151,-120.341162,10411.65,441.1721,32,880,436,2018.348624
25.290352,-120.516936,3464.5,1178.161,-57,906,1142,793.3450088
53.54509693,-113.707024,752.4,318,99.5,68.81,2913,23.62169585
53.61996505,-113.5680863,712.31,229,124,48.61,1749,27.79302459
17.385523,-120.517059,4381.19,2053.113,-36,894,1982,451.0595358
53.60879271,-113.5995274,721.16,348,85.7,73.5,2100,35
23.72037,-120.516712,8659.19,1352.229,-45,904,1306,692.1898928
38.4063772,127.2769516,808,838,-294.1071429,8.051464846,851.5,9.455625186
53.43510644,-113.4255824,764.88,394,88.9,70.1,1518,46.17918314
442760086,-940902736,1,125,-233,133,3925,33.88535032
38.44334849,125.2196887,735,1373,-773.6428571,5.746786911,1777.5,3.233072805
53.46388131,-113.7794077,745.38,243,270.9,77.26,1983,38.96116994
38.10052923,125.3213621,883,695,-613.1071429,6.51833136,1467.5,4.44179309
53.44477696,-113.6855514,735.06,290,270.6,75.79,1644,46.10097324
39.4526464,126.1451425,1270,963,-753.9642857,5.841363327,1739.5,3.358070323
38.20147543,124.2168774,123,1128,-151.1785714,8.738388291,575.5,15.18399356
39.40167,127.5369,195,586,14,13,75.5,172.1854305
38.2213842,127.552392,844,1091,-645.2142857,6.36402247,1529.5,4.160851566
38.78967233,125.1654276,1381,1053,-510.5714286,7.011124266,1269.5,5.522744597
53.57873624,-113.2863516,709.68,369,293.4,78.66,2277,34.54545455
442760086,-940902736,3,194,-230,100,4245,23.55712603
53.67009869,-113.3226188,710.51,268,14.7,76.68,1641,46.72760512
