Latitude,Longitude,Altitude ,Distance,Pitch angle,Velocity,Time(secs)
37.28553451,125.9768527,390,806,-166.7142857,8.663722699,605.5
31.03283,-120.517269,10417.33,542.4081,-9,886,522
38.996693,127.4942481,387,881,-343.8214286,7.812534952,947.5
32.001859,-120.193566,10412.03,422.1578,86,883,420
37.74546115,128.3523987,213,1142,-380.0714286,7.638315238,1017.5
442760087,-940902736,2,130,-232,165,3455
53.39554374,-113.475598,738.66,388,56.7,37.58,1458
39.67943666,128.5088533,645,714,-582.0357143,6.667662544,1407.5
442760086,-940902741,2,139,-231,162,1265
38.63989483,125.8155391,133,800,-56.92857143,9.191359549,393.5
25.243608,-120.51673,3620.82,1183.372,-78,891,1148
30.320064,-120.516833,10419.82,621.3881,-13,893,588
31.785621,-120.470459,10414.15,457.7339,44,892,450
34.644908,-117.925065,2948.58,42.3573,82,894,66
53.55347184,-113.6539398,761.83,234,355.1,94.23,849
442760086,-940902738,2,135,-231,130,1670
442760086,-940902738,2,180,-231,106,1650
53.51050949,-113.7122096,748.21,274,269.8,78.66,162
39.89038548,127.0300422,130,1043,-327.25,7.89217825,915.5
53.50806612,-113.6553808,746.02,298,23.7,61.29,2523
442760086,-940902736,1,146,-234,156,4170
442760088,-940902746,3,162,-228,117,235
26.844367,-120.516827,4130.24,1006.095,-7,885,920
442760088,-940902737,5,105,-233,184,2625
30.645583,-120.516889,10420.76,585.3226,-59,883,558
442760086,-940902739,6,113,-232,184,1600
31.886151,-120.341162,10411.65,441.1721,32,880,436
25.290352,-120.516936,3464.5,1178.161,-57,906,1142
53.54509693,-113.707024,752.4,318,99.5,68.81,2913
53.61996505,-113.5680863,712.31,229,124,48.61,1749
17.385523,-120.517059,4381.19,2053.113,-36,894,1982
53.60879271,-113.5995274,721.16,348,85.7,73.5,2100
23.72037,-120.516712,8659.19,1352.229,-45,904,1306
38.4063772,127.2769516,808,838,-294.1071429,8.051464846,851.5
53.43510644,-113.4255824,764.88,394,88.9,70.1,1518
442760086,-940902736,1,125,-233,133,3925
38.44334849,125.2196887,735,1373,-773.6428571,5.746786911,1777.5
53.46388131,-113.7794077,745.38,243,270.9,77.26,1983
38.10052923,125.3213621,883,695,-613.1071429,6.51833136,1467.5
53.44477696,-113.6855514,735.06,290,270.6,75.79,1644
39.4526464,126.1451425,1270,963,-753.9642857,5.841363327,1739.5
38.20147543,124.2168774,123,1128,-151.1785714,8.738388291,575.5
39.40167,127.5369,195,586,14,13,75.5
38.2213842,127.552392,844,1091,-645.2142857,6.36402247,1529.5
38.78967233,125.1654276,1381,1053,-510.5714286,7.011124266,1269.5
53.57873624,-113.2863516,709.68,369,293.4,78.66,2277
442760086,-940902736,3,194,-230,100,4245
53.67009869,-113.3226188,710.51,268,14.7,76.68,1641
28.483798,-120.516773,10417.44,824.7661,76,886,756
37.95499881,126.6712177,433,1242,-610,6.533264478,1461.5
442760087,-940902736,2,149,-233,177,3785
37.69848593,126.7479328,1342,1361,-794.3571429,5.647232788,1817.5
38.23577958,124.6473773,93,724,-608.9642857,6.538242185,1459.5
53.38648401,-113.4398134,731.19,319,1.2,81.11,813
53.68380338,-113.3388529,719.07,387,197.1,87.4,408
53.70736314,-113.5156895,734.44,222,179.8,109.1,1128
39.91705758,124.2638207,534,1000,-70.39285714,9.126649369,419.5
442760087,-940902736,5,115,-234,105,2490
53.37150703,-113.3428265,764.15,377,357.9,67.34,2484
442760088,-940902737,1,190,-232,149,2990
25.839719,-120.516952,843.46,1117.195,-6,881,1060
442760087,-940902737,6,115,-229,108,3990
17.919802,-120.516841,1591.36,1993.862,-65,911,1916
53.66510991,-113.3858271,676.67,308,272.5,76.44,1074
28.527025,-120.516768,10418.03,819.9812,2,899,752
30.796602,-120.516745,10419.92,568.5806,-81,896,544
37.55111259,124.0012096,1202,906,-419.4285714,7.449162405,1093.5
38.54857309,125.9392632,284,916,-466.0357143,7.22516563,1183.5
53.57327715,-113.745001,708.87,217,293.9,74.94,2010
38.23222202,128.3977324,339,586,17.64285714,9.54975439,249.5
442760086,-940902740,3,170,-233,128,1390
442760087,-940902737,4,152,-232,121,3050
53.44578174,-113.3229198,791.19,325,81.8,93.14,1275
53.65126613,-113.2485592,675.67,390,203.5,66.98,1995
39.85813044,124.2360907,592,1000,-79.71428571,9.081850014,437.5
38.75394014,124.681583,1357,1178,-541.6428571,6.861793083,1329.5
442760087,-940902737,3,199,-232,125,2345
442760086,-940902741,6,130,-231,176,1005
18.275318,-120.517229,182.81,1954.46,-9,918,1864
23.949125,-120.517174,8095.7,1326.909,84,905,1284
53.39559765,-113.3162062,765.58,349,90.3,69.05,2208
442760087,-940902737,2,119,-233,101,3145
37.62843994,128.541966,359,806,-395.6071429,7.563649646,1047.5
37.29762288,124.8653966,177,840,-360.3928571,7.732891654,979.5
38.77860757,125.9021132,552,1220,-369.7142857,7.688092299,997.5
